application_package_id,company,role,role_id,role_code,role_family,status,date_applied,last_update,source,location,employment_type,resumes,cover_letters,notes
application-broadridge-product-analyst-2026-v1,Broadridge,Product Analyst,application-broadridge-product-analyst-2026-v1,,,APPLIED,2026-06-13,2026-06-13,LinkedIn,,Full Time,ats-resume.html|full-resume.html,none,Application submitted successfully.
application-citi-ba-it-2026-v1,Citi,IT Business Senior Analyst,application-citi-ba-it-2026-v1,,,APPLIED,2026-06-12,2026-06-12,LinkedIn,,Full Time,ats-resume.html|full-resume.html,none,Citi site could not parse uploaded PDF successfully.|Application form still opened with basic profile fields populated.|Resume was attached manually.|Application was submitted.|Future improvement: generate ATS-safe DOCX/plain-text resume in addition to HTML/PDF.|Resume generated from Career System v0.7.x pipeline.|Tailored for Citi IT Business Analyst role.
application-finbourne-technology-support-appsupport-2026-v1,Finbourne,Technology Support / Application Support,application-finbourne-technology-support-appsupport-2026-v1,,,POSITION_CLOSED,2026-06-13,2026-06-13,LinkedIn,,Full Time,ats-resume.html|full-resume.html,none,Position no longer available.
application-ice-senior-ba-2026-v1,ICE,Senior Business Analyst,application-ice-senior-ba-2026-v1,,,APPLIED,2026-06-15,2026-06-15,LinkedIn,,Full Time,ats-resume.html|full-resume.html,none,"Applied manually through ICE careers site.|Application required manual entry of employment history.|Only five professional experiences could be entered, limiting historical experience visibility.|Application submitted successfully."
application-lseg-senior-ba-2026-v1,LSEG,"Senior Business Analyst – Product Development, TradeAgent",application-lseg-senior-ba-2026-v1,,,APPLIED,2026-06-15,2026-06-15,LinkedIn,,Full Time,ats-resume.html|full-resume.html,none,Application submitted successfully.
application-new-york-life-technical-ba-2026-v1,New York Life,Technical Business Analyst,application-new-york-life-technical-ba-2026-v1,,,APPLIED,2026-06-15,2026-06-15,LinkedIn,,Full Time,ats-resume.html|full-resume.html,none,Application submitted successfully.
application-pico-sre-2026-v1,Pico,Site Reliability Engineer / SRE,application-pico-sre-2026-v1,,,REJECTED,2026-04-21,2026-04-28,LinkedIn,,,ats-resume.html|full-resume.html,none,Application submitted previously.|Received rejection notification.
application-qode-ba-2026-v1,Qode,Product Senior Business Systems Analyst,application-qode-ba-2026-v1,,,APPLIED,2026-06-15,2026-06-15,LinkedIn,,Full Time,ats-resume.txt,none,Application submitted successfully.
application-shutterstock-ba-2026-v1,Shutterstock,Product Analyst,application-shutterstock-ba-2026-v1,,,APPLIED,2026-06-15,2026-06-15,LinkedIn,New York NY,Full Time,ats-resume.html|full-resume.html,none,Application submitted successfully.|Application package generated by Career System v0.9.0.
application-the-depository-trust-and-clearing-corporation-dtcc-bsa-2026-v1,DTCC,Lead Business Systems Analyst,application-the-depository-trust-and-clearing-corporation-dtcc-bsa-2026-v1,,,POSITION_CLOSED,,2026-06-17,,,Full Time,ats-resume.html|full-resume.html,none,
application-upmc-systems-analyst-2026-v1,UPMC,Systems Analyst Senior,application-upmc-systems-analyst-2026-v1,,,NOT_PURSUED,,2026-06-17,,,Contract,ats-resume.html|full-resume.html,none,
